business_or_person,category
american  ,travel
georgian airways ltd,travel
lufthan,travel
lufthan   ,travel
ryanair   mkere      ,travel
ryanaircfrkg,travel
spirit ai ,travel
tap,travel
vueling anndfbqc,travel
 montaditos la sure,dining
 paysans,dining
 sons brewing co,dining
 topcafe,dining
"""nella"" imbissstube",dining
-gm t espada,dining
about coffee gmbh,dining
alser cafe,dining
andrew's,dining
ankerbrot,dining
aramark dk,dining
areas portugal sa,dining
autogrill ,dining
addicted to rock store,dining
adlerhof,dining
arco adige,dining
beaulieu epicerie fine,dining
bellako sant joan,dining
biltmore coral gables,dining
bormuth,dining
bubble king,dining
burger boutique,dining
burger king elterleinp,dining
baeckerei oefferl scho,dining
belgorama,dining
bistrot brussels airpo,dining
boussi falafel  ep gmb,dining
bäckerei cafe felzl,dining
bäckerei martini,dining
c united cntr concess,dining
cafe creme,dining
cafe cremerie,dining
cafe fosc,dining
cafe goldener papage,dining
cafe hungry biker,dining
cafe larc,dining
cafe melangerie,dining
cafe wortner,dining
caffe umbria n clark,dining
camparino srl,dining
ccg@perez art museum p,entertainment
charlie p's,dining
chef express s.p.a.,dining
chicha limona,dining
chick-fil-a ,dining
chipotle ,dining
cienfuegos coffee llc,dining
cke*threefold cafe mia,dining
cms*bettoli trading co,dining
cocina del barrio,dining
coffee junkie,dining
coffee pirates,dining
coldstone ,dining
copenhagen coffe,dining
cph coffee lab,dining
cafe ,dining
cafe hurricane e k,dining
cafe restaurant khm,dining
cafe am hafen,dining
cafe del sol,dining
caffe a casa,dining
cennur & volksgarten,entertainment
cinnamood,dining
crazy khinkali,dining
das augustin,dining
db fernverkehr ag,travel
dd doordash dairyquee,dining
dd doordash eataly,dining
dd doordash sultansma,dining
dd doordash xoco,dining
deezfruta inc,dining
deli lane cafe and tav,dining
disco volante,dining
doenermeister,dining
dunkin  q,dining
der mann - backwaren ,dining
dietmar horvath backwa,dining
dorian's through the r,dining
eggholic,dining
el charro taqueria llc,dining
el glop,dining
el gran inka  biscayne,dining
el jefe del otro,dining
el rey de las fritas,dining
el rinconcito latino k,dining
espresso house,dining
eisgreissler,dining
espressomobil,dining
feuerwehrwagner,dining
flor rivoli,dining
foodstock,dining
four season the blvd,dining
frau mayer,dining
frontera grill b ord,dining
fuzzys taco shop - min,dining
