date,card_number,business_or_person_original,category_original,debit,credit,business_or_person,category,sequence
2024-04-26,5739,hernals. kebap pizza,dining,5.59,,hernals. kebap pizza,dining,1
2024-04-26,5739,hofer dankt,merchandise,89.45,,hofer dankt,groceries,1
2024-04-25,5739,billa dankt,merchandise,3.73,,billa dankt,groceries,1
2024-04-25,5739,spar fil. 4825,merchandise,2.6,,spar fil. ,groceries,1
2024-04-25,5739,interspar fil. 8200,merchandise,17.12,,interspar fil. ,groceries,1
2024-04-24,5739,hernals. kebap pizza,dining,5.57,,hernals. kebap pizza,dining,1
2024-04-23,5739,interspar fil. 8730,merchandise,2.12,,interspar fil. ,groceries,1
2024-04-23,5739,billa dankt,merchandise,6.06,,billa dankt,groceries,1
2024-04-23,5739,gerstner k u k,dining,30.95,,gerstner k u k,,1
2024-04-23,5739,das kolin,dining,13.87,,das kolin,dining,1
2024-04-20,5739,frau mayer,dining,12.82,,frau mayer,dining,1
2024-04-20,5739,frau mayer,dining,28.84,,frau mayer,dining,1
2024-04-20,5739,frau mayer,dining,40.58,,frau mayer,dining,1
2024-04-20,5739,wiener linien 2361,other travel,5.55,,wiener linien ,car/bike/metro,1
2024-04-19,5739,hofer dankt,merchandise,27.48,,hofer dankt,groceries,1
2024-04-17,5739,billa dankt,merchandise,49.58,,billa dankt,groceries,1
2024-04-17,5739,sumup  *grey kaffee,dining,9.38,,sumup  *grey kaffee,dining,1
2024-04-16,5739,billa dankt,merchandise,22.65,,billa dankt,groceries,1
2024-04-16,5739,village gallery,merchandise,2.35,,village gallery,,1
2024-04-15,5739,lidl dankt 496,merchandise,77.7,,lidl dankt ,groceries,1
2024-04-15,5739,obi bau- und heimwerke,merchandise,12.34,,obi bau- und heimwerke,home,1
2024-04-15,5739,obi bau- und heimwerke,merchandise,11.8,,obi bau- und heimwerke,home,1
2024-04-14,5739,hernals. kebap pizza,dining,11.17,,hernals. kebap pizza,dining,1
2024-04-12,5739,billa dankt,merchandise,13.38,,billa dankt,groceries,1
2024-04-11,5739,joseph brot,dining,11.09,,joseph brot,dining,1
2024-04-11,5739,starbucks 40202,dining,10.11,,starbucks ,dining,1
2024-04-11,5739,dean & david europlaza,dining,5.16,,dean & david europlaza,,1
2024-04-11,5739,wiener linien 2314,other travel,8.91,,wiener linien ,car/bike/metro,1
2024-04-10,5739,markta gmbh,merchandise,32.54,,markta gmbh,merchandise,1
2024-04-09,5739,coffee pirates,dining,9.77,,coffee pirates,dining,1
2024-04-09,5739,spar fil. 4825,merchandise,1.19,,spar fil. ,groceries,1
2024-04-06,5739,billa dankt,merchandise,16.87,,billa dankt,groceries,1
2024-04-05,8035,bipa dankt,merchandise,19.42,,bipa dankt,groceries,1
2024-04-05,5739,billa dankt,merchandise,5.09,,billa dankt,groceries,1
2024-04-05,5739,kaffeekuche,dining,4.24,,kaffeekuche,dining,1
2024-04-05,5739,wiener linien 719,other travel,2.61,,wiener linien ,car/bike/metro,1
2024-04-05,5739,wiener linien 2314,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-04-05,5739,obi bau- und heimwerke,merchandise,12.46,,obi bau- und heimwerke,home,1
2024-04-05,5739,aycan supermarkt,merchandise,13.03,,aycan supermarkt,groceries,1
2024-04-04,5739,obi bau- und heimwerke,merchandise,62.03,,obi bau- und heimwerke,home,1
2024-04-03,5739,hofer dankt,merchandise,92.96,,hofer dankt,groceries,1
2024-04-02,8035,ryanair224224tpmcxa,airfare,86.01,,ryanairtpmcxa,,1
2024-03-30,5739,billa dankt,merchandise,25.2,,billa dankt,groceries,1
2024-03-30,5739,interspar fil. 8730,merchandise,3.23,,interspar fil. ,groceries,1
2024-03-30,5739,interspar fil. 8730,merchandise,3.37,,interspar fil. ,groceries,1
2024-04-23,3363,nextbike by tier,other travel,0.8,,nextbike by tier,car/bike/metro,1
2024-04-04,3363,apple.com/bill,entertainment,0.99,,apple.com/bill,merchandise,1
2024-04-03,3363,etsy.com - plantscrape,merchandise,44.44,,etsy.com - plantscrape,,1
