date,card_number,business_or_person_original,category_original,debit,credit,business_or_person,category,sequence
2024-04-26,5739.0,hernals. kebap pizza,dining,5.59,,hernals. kebap pizza,dining,1
2024-04-26,5739.0,hofer dankt,merchandise,89.45,,hofer dankt,groceries,1
2024-04-25,5739.0,billa dankt,merchandise,3.73,,billa dankt,groceries,1
2024-04-25,5739.0,interspar fil. 8200,merchandise,17.12,,interspar fil. ,groceries,1
2024-04-25,5739.0,spar fil. 4825,merchandise,2.6,,spar fil. ,groceries,1
2024-04-24,5739.0,hernals. kebap pizza,dining,5.57,,hernals. kebap pizza,dining,1
2024-04-23,3363.0,nextbike by tier,other travel,0.8,,nextbike by tier,car/bike/metro,1
2024-04-23,5739.0,das kolin,dining,13.87,,das kolin,dining,1
2024-04-23,5739.0,gerstner k u k,dining,30.95,,gerstner k u k,dining,1
2024-04-23,5739.0,billa dankt,merchandise,6.06,,billa dankt,groceries,1
2024-04-23,5739.0,interspar fil. 8730,merchandise,2.12,,interspar fil. ,groceries,1
2024-04-20,5739.0,wiener linien 2361,other travel,5.55,,wiener linien ,car/bike/metro,1
2024-04-20,5739.0,frau mayer,dining,12.82,,frau mayer,dining,1
2024-04-20,5739.0,frau mayer,dining,28.84,,frau mayer,dining,1
2024-04-20,5739.0,frau mayer,dining,40.58,,frau mayer,dining,1
2024-04-19,5739.0,hofer dankt,merchandise,27.48,,hofer dankt,groceries,1
2024-04-17,5739.0,sumup  *grey kaffee,dining,9.38,,sumup  *grey kaffee,dining,1
2024-04-17,5739.0,billa dankt,merchandise,49.58,,billa dankt,groceries,1
2024-04-16,5739.0,village gallery,merchandise,2.35,,village gallery,entertainment,1
2024-04-16,5739.0,billa dankt,merchandise,22.65,,billa dankt,groceries,1
2024-04-15,5739.0,lidl dankt 496,merchandise,77.7,,lidl dankt ,groceries,1
2024-04-15,5739.0,obi bau- und heimwerke,merchandise,12.34,,obi bau- und heimwerke,home,1
2024-04-15,5739.0,obi bau- und heimwerke,merchandise,11.8,,obi bau- und heimwerke,home,1
2024-04-14,5739.0,hernals. kebap pizza,dining,11.17,,hernals. kebap pizza,dining,1
2024-04-12,5739.0,billa dankt,merchandise,13.38,,billa dankt,groceries,1
2024-04-11,5739.0,wiener linien 2314,other travel,8.91,,wiener linien ,car/bike/metro,1
2024-04-11,5739.0,dean & david europlaza,dining,5.16,,dean & david europlaza,dining,1
2024-04-11,5739.0,joseph brot,dining,11.09,,joseph brot,dining,1
2024-04-11,5739.0,starbucks 40202,dining,10.11,,starbucks ,dining,1
2024-04-10,5739.0,markta gmbh,merchandise,32.54,,markta gmbh,merchandise,1
2024-04-09,5739.0,coffee pirates,dining,9.77,,coffee pirates,dining,1
2024-04-09,5739.0,spar fil. 4825,merchandise,1.19,,spar fil. ,groceries,1
2024-04-06,5739.0,billa dankt,merchandise,16.87,,billa dankt,groceries,1
2024-04-05,5739.0,wiener linien 719,other travel,2.61,,wiener linien ,car/bike/metro,1
2024-04-05,5739.0,wiener linien 2314,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-04-05,5739.0,kaffeekuche,dining,4.24,,kaffeekuche,dining,1
2024-04-05,5739.0,aycan supermarkt,merchandise,13.03,,aycan supermarkt,groceries,1
2024-04-05,5739.0,billa dankt,merchandise,5.09,,billa dankt,groceries,1
2024-04-05,8035.0,bipa dankt,merchandise,19.42,,bipa dankt,groceries,1
2024-04-05,5739.0,obi bau- und heimwerke,merchandise,12.46,,obi bau- und heimwerke,home,1
2024-04-04,5739.0,obi bau- und heimwerke,merchandise,62.03,,obi bau- und heimwerke,home,1
2024-04-04,3363.0,apple.com/bill,entertainment,0.99,,apple.com/bill,merchandise,1
2024-04-03,5739.0,hofer dankt,merchandise,92.96,,hofer dankt,groceries,1
2024-04-03,3363.0,etsy.com - plantscrape,merchandise,44.44,,etsy.com - plantscrape,merchandise,1
2024-04-02,8035.0,ryanair224224tpmcxa,airfare,86.01,,ryanairtpmcxa,travel,1
2024-03-30,5739.0,billa dankt,merchandise,25.2,,billa dankt,groceries,1
2024-03-30,5739.0,interspar fil. 8730,merchandise,3.23,,interspar fil. ,groceries,1
2024-03-30,5739.0,interspar fil. 8730,merchandise,3.37,,interspar fil. ,groceries,1
2024-03-29,5739.0,wiener linien 2378,other travel,2.82,,wiener linien ,car/bike/metro,1
2024-03-29,5739.0,sumup *caffecouture,dining,5.42,,sumup *caffecouture,dining,1
2024-03-29,5739.0,lidl dankt 496,merchandise,4.09,,lidl dankt ,groceries,1
2024-03-28,5739.0,sumup *baharak & nima,dining,15.18,,sumup *baharak & nima,dining,1
2024-03-28,5739.0,billa dankt,merchandise,12.63,,billa dankt,groceries,1
2024-03-27,5739.0,spar fil. 4214,merchandise,32.74,,spar fil. ,groceries,1
2024-03-26,5739.0,wiener linien 766,other travel,2.6,,wiener linien ,car/bike/metro,1
2024-03-26,5739.0,wiener linien 2178,other travel,2.82,,wiener linien ,car/bike/metro,1
2024-03-26,5739.0,billa dankt,merchandise,2.1,,billa dankt,groceries,1
2024-03-25,5739.0,hofer dankt,merchandise,80.62,,hofer dankt,groceries,1
2024-03-23,5739.0,billa dankt,merchandise,16.52,,billa dankt,groceries,1
2024-03-23,5739.0,billa dankt,merchandise,13.0,,billa dankt,groceries,1
2024-03-22,5739.0,obi bau- und heimwerke,merchandise,13.12,,obi bau- und heimwerke,home,1
2024-03-21,5739.0,wiener linien 2266,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-03-21,5739.0,sumup  *the pelican co,dining,11.96,,sumup  *the pelican co,dining,1
2024-03-21,8035.0,lidl dankt 496,merchandise,39.27,,lidl dankt ,groceries,1
2024-03-21,5739.0,spar fil. 4825,merchandise,1.88,,spar fil. ,groceries,1
2024-03-21,5739.0,sumup  *ikonomu konsta,merchandise,9.79,,sumup  *ikonomu konsta,merchandise,1
2024-03-21,5739.0,oebb ticket automat,other travel,2.61,,oebb ticket automat,travel,1
2024-03-20,5739.0,wiener linien 2318,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-03-20,8035.0,dm-fil. 0602,merchandise,6.48,,dm-fil. ,groceries,1
2024-03-19,8035.0,bipa dankt,merchandise,5.43,,bipa dankt,groceries,1
2024-03-18,5739.0,wiener linien 2356,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-03-16,5739.0,wiener linien 2200,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-03-16,5739.0,charlie p's,dining,51.24,,charlie p's,dining,1
2024-03-16,5739.0,sumup  *kaffeefabrik s,dining,3.92,,sumup  *kaffeefabrik s,dining,1
2024-03-16,5739.0,billa dankt,merchandise,72.89,,billa dankt,groceries,1
2024-03-16,5739.0,spar fil. 4039,merchandise,7.48,,spar fil. ,groceries,1
2024-03-13,5739.0,wiener linien 2036,other travel,2.85,,wiener linien ,car/bike/metro,1
2024-03-13,5739.0,wiener linien 2335,other travel,2.85,,wiener linien ,car/bike/metro,1
2024-03-13,5739.0,billa dankt,merchandise,3.27,,billa dankt,groceries,1
2024-03-12,5739.0,billa dankt,merchandise,14.96,,billa dankt,groceries,1
2024-03-12,5739.0,lidl dankt 496,merchandise,15.14,,lidl dankt ,groceries,1
2024-03-12,5739.0,bartholomaeus apotheke,health care,105.28,,bartholomaeus apotheke,health care,1
2024-03-10,5739.0,sport & fun halle otta,other services,8.79,,sport & fun halle otta,entertainment,1
2024-03-09,5739.0,hofer dankt,merchandise,67.4,,hofer dankt,groceries,1
2024-03-08,5739.0,obi bau- und heimwerke,merchandise,9.39,,obi bau- und heimwerke,home,1
2024-03-07,8035.0,lidl dankt 593,merchandise,9.92,,lidl dankt ,groceries,1
2024-03-06,5739.0,billa dankt,merchandise,7.97,,billa dankt,groceries,1
2024-03-03,5739.0,sport & fun halle otta,other services,8.68,,sport & fun halle otta,entertainment,1
2024-03-02,5739.0,wiener linien 2255,other travel,2.82,,wiener linien ,car/bike/metro,1
2024-03-02,5739.0,frau mayer,dining,5.42,,frau mayer,dining,1
2024-03-02,5739.0,frau mayer,dining,16.27,,frau mayer,dining,1
2024-03-02,5739.0,frau mayer,dining,5.42,,frau mayer,dining,2
2024-03-02,5739.0,billa dankt,merchandise,32.55,,billa dankt,groceries,1
2024-03-02,8035.0,xxxlutz wien 15,merchandise,11.92,,xxxlutz wien ,home,1
2024-03-01,5739.0,wiener linien 2165,other travel,2.82,,wiener linien ,car/bike/metro,1
2024-03-01,5739.0,peek & cloppenburg,merchandise,13.02,,peek & cloppenburg,merchandise,1
2024-02-29,5739.0,billa dankt,merchandise,52.16,,billa dankt,groceries,1
2024-02-29,5739.0,hofer dankt,merchandise,111.21,,hofer dankt,groceries,1
2024-02-28,5739.0,wiener linien 2337,other travel,2.83,,wiener linien ,car/bike/metro,1
2024-02-28,8035.0,bipa dankt,merchandise,5.84,,bipa dankt,groceries,1
2024-02-28,5739.0,interspar fil. 8200,merchandise,8.66,,interspar fil. ,groceries,1
2024-02-27,5739.0,hernals. kebap pizza,dining,5.65,,hernals. kebap pizza,dining,1
2024-02-23,5739.0,ankerbrot,dining,1.36,,ankerbrot,dining,1
2024-02-23,5739.0,spielbar,dining,10.84,,spielbar,entertainment,1
